기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11350,노원구,CS200007,치과의원,210.0,210.0,0.0,0.0,0.0,0.0,0.0
20252,11350,노원구,CS200022,복권방,49.0,49.0,0.0,0.0,2.0,1.0,0.0
20252,11350,노원구,CS200044,여행사,79.0,79.0,1.3,1.0,1.3,1.0,0.0
20252,11350,노원구,CS300003,컴퓨터및주변장치판매,153.0,154.0,1.3,2.0,0.6,1.0,1.0
20252,11260,중랑구,CS200026,자동차미용,69.0,73.0,1.4,1.0,1.4,1.0,4.0
20252,11260,중랑구,CS200031,세탁소,230.0,265.0,3.4,9.0,2.6,7.0,35.0
20252,11350,노원구,CS300005,주류도매,17.0,17.0,0.0,0.0,0.0,0.0,0.0
20252,11350,노원구,CS300007,육류판매,172.0,174.0,3.4,6.0,1.1,2.0,2.0
20252,11350,노원구,CS300012,한복점,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20252,11350,노원구,CS300022,화장품,356.0,400.0,0.8,3.0,1.8,7.0,44.0
20252,11260,중랑구,CS200033,부동산중개업,917.0,918.0,0.0,0.0,2.5,23.0,1.0
20252,11350,노원구,CS300024,운동/경기용품,102.0,102.0,2.9,3.0,2.9,3.0,0.0
20252,11350,노원구,CS300029,애완동물,73.0,87.0,4.6,4.0,8.0,7.0,14.0
20252,11260,중랑구,CS300002,편의점,83.0,284.0,1.8,5.0,1.8,5.0,201.0
20252,11350,노원구,CS300033,철물점,76.0,76.0,3.9,3.0,3.9,3.0,0.0
20252,11350,노원구,CS300035,인테리어,168.0,168.0,1.2,2.0,1.2,2.0,0.0
20252,11260,중랑구,CS300006,미곡판매,72.0,72.0,0.0,0.0,2.8,2.0,0.0
20252,11260,중랑구,CS300013,유아의류,41.0,42.0,2.4,1.0,0.0,0.0,1.0
20252,11380,은평구,CS100004,양식음식점,144.0,171.0,4.1,7.0,5.8,10.0,27.0
20252,11380,은평구,CS200002,외국어학원,80.0,80.0,7.5,6.0,3.8,3.0,0.0
20252,11380,은평구,CS200012,법무사사무소,35.0,35.0,0.0,0.0,0.0,0.0,0.0
20252,11380,은평구,CS200018,볼링장,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20252,11260,중랑구,CS300038,자동차부품,114.0,114.0,0.0,0.0,4.4,5.0,0.0
20252,11380,은평구,CS200020,전자게임장,10.0,10.0,0.0,0.0,10.0,1.0,0.0
20252,11380,은평구,CS200022,복권방,60.0,60.0,0.0,0.0,1.7,1.0,0.0
20252,11260,중랑구,CS300041,예술품,16.0,16.0,0.0,0.0,0.0,0.0,0.0
20252,11380,은평구,CS200041,사진관,189.0,191.0,1.0,2.0,3.1,6.0,2.0
20252,11380,은평구,CS300001,슈퍼마켓,301.0,449.0,7.1,32.0,2.0,9.0,148.0
20252,11260,중랑구,CS300043,전자상거래업,768.0,769.0,0.0,0.0,3.9,30.0,1.0
20252,11290,성북구,CS100004,양식음식점,198.0,222.0,1.8,4.0,3.6,8.0,24.0
20252,11290,성북구,CS200002,외국어학원,70.0,71.0,5.6,4.0,4.2,3.0,1.0
20252,11380,은평구,CS300014,신발,109.0,114.0,0.0,0.0,1.8,2.0,5.0
20252,11380,은평구,CS300036,조명용품,167.0,167.0,0.0,0.0,0.6,1.0,0.0
20252,11380,은평구,CS300038,자동차부품,58.0,58.0,1.7,1.0,1.7,1.0,0.0
20252,11380,은평구,CS300039,모터사이클및부품,27.0,27.0,3.7,1.0,0.0,0.0,0.0
20252,11290,성북구,CS200015,세무사사무소,56.0,56.0,0.0,0.0,0.0,0.0,0.0
20252,11380,은평구,CS300040,재생용품 판매점,43.0,43.0,0.0,0.0,0.0,0.0,0.0
20252,11410,서대문구,CS100002,중식음식점,178.0,199.0,3.0,6.0,4.0,8.0,21.0
20252,11410,서대문구,CS100004,양식음식점,210.0,240.0,3.8,9.0,4.6,11.0,30.0
20252,11410,서대문구,CS100007,치킨전문점,68.0,185.0,5.4,10.0,5.4,10.0,117.0
20252,11290,성북구,CS200016,당구장,131.0,132.0,8.3,11.0,5.3,7.0,1.0
20252,11290,성북구,CS200024,스포츠클럽,136.0,140.0,11.4,16.0,3.6,5.0,4.0
20252,11410,서대문구,CS100009,호프-간이주점,487.0,554.0,2.9,16.0,2.5,14.0,67.0
20252,11410,서대문구,CS200015,세무사사무소,54.0,54.0,0.0,0.0,0.0,0.0,0.0
20252,11410,서대문구,CS200017,골프연습장,36.0,37.0,2.7,1.0,0.0,0.0,1.0
20252,11410,서대문구,CS200037,노래방,109.0,113.0,0.0,0.0,0.0,0.0,4.0
20252,11290,성북구,CS200030,피부관리실,305.0,309.0,7.8,24.0,2.6,8.0,4.0
20252,11410,서대문구,CS200044,여행사,203.0,203.0,0.5,1.0,1.5,3.0,0.0
20252,11410,서대문구,CS200045,비디오/서적임대,6.0,7.0,0.0,0.0,0.0,0.0,1.0
20252,11290,성북구,CS200038,독서실,109.0,139.0,2.2,3.0,3.6,5.0,30.0
20252,11410,서대문구,CS300006,미곡판매,55.0,55.0,0.0,0.0,1.8,1.0,0.0
20252,11410,서대문구,CS300020,서적,135.0,137.0,2.2,3.0,3.6,5.0,2.0
20252,11290,성북구,CS200044,여행사,75.0,75.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS300001,슈퍼마켓,324.0,453.0,4.9,22.0,2.6,12.0,129.0
20252,11410,서대문구,CS300032,가전제품,40.0,40.0,0.0,0.0,2.5,1.0,0.0
20252,11410,서대문구,CS300035,인테리어,113.0,113.0,2.7,3.0,0.0,0.0,0.0
20252,11410,서대문구,CS300037,중고차판매,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20252,11410,서대문구,CS300038,자동차부품,33.0,33.0,3.0,1.0,3.0,1.0,0.0
20252,11290,성북구,CS300005,주류도매,15.0,15.0,0.0,0.0,6.7,1.0,0.0
20252,11410,서대문구,CS300039,모터사이클및부품,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20252,11440,마포구,CS200001,일반교습학원,1043.0,1140.0,2.3,26.0,1.4,16.0,97.0
20252,11290,성북구,CS300025,자전거 및 기타운송장비,20.0,20.0,0.0,0.0,0.0,0.0,0.0
